id,name,genre,subgenre,city,venue_id,venue_name,latitude,longitude,attraction_id,attraction_name,event_date,min_price,max_price,currency,url,fetched_at
1AMZkubGkdgRulx,Craig David TS5 Live After Racing - Grandstand and Paddock,R&B,R&B,Newmarket,KovZ9177BH0,Newmarket Racecourses,52.230857,0.382232,K8vZ9171V6V,Craig David,2026-08-14,,,,https://www.ticketmaster.co.uk/craig-david-ts5-live-after-racing-newmarket-14-08-2026/event/37006358F5BCDAE2,2026-08-10T10:21:16
1AMZkubGkdgHuiO,Craig David TS5 Live After Racing - The Premier Enclosure,R&B,R&B,Newmarket,KovZ9177BH0,Newmarket Racecourses,52.230857,0.382232,K8vZ9171V6V,Craig David,2026-08-14,,,,https://www.ticketmaster.co.uk/craig-david-ts5-live-after-racing-newmarket-14-08-2026/event/37006358F5F0DB20,2026-08-10T10:21:16
1FuYvNp839Z7C6G5,The Waterboys,Rock,Alternative Rock,Liverpool,KovZ9177Ms7,Salt & Tar,53.44908518,-2.99790361,K8vZ9171FGV,The Waterboys,2026-08-14,,,,https://www.ticketmaster.co.uk/the-waterboys-liverpool-14-08-2026/event/370063590497D6BA,2026-08-10T10:21:16
1ku8v0uyGA5KxRj,Tom Jones and Nile Rodgers & Chic,Rock,Pop,Chester,KovZ9177P67,CHESTER RACECOURSE,53.188887,-2.897603,K8vZ9171uxf,Tom Jones,2026-08-14,,,,https://www.ticketmaster.co.uk/tom-jones-and-nile-rodgers-chic-chester-14-08-2026/event/350064379B4E2BDC,2026-08-10T10:21:16
LvZ18QOkHh2hOzZvaeNeP,The Suffield Summer ¡Fiesta!,Rock,Alternative Rock,Norwich,KovZ9177gb7,The Suffield Arms,52.96992176,1.37206492,K8vZ917KGlV,Jah Wobble,2026-08-14,,,,https://www.universe.com/events/the-suffield-summer-fiesta-tickets-8ZXCQG?ref=ticketmaster,2026-08-10T10:21:16
LvZ18QjgCL_rL2YvOum07,McFLY - Borde Hill Summer Series,Pop,Pop,West Sussex,KovZ91776Jf,Borde Hill Garden,51.021837,-0.113146,K8vZ9175iUf,McFly,2026-08-14,,,,https://www.universe.com/events/mcfly-borde-hill-summer-series-tickets-TW5Z8V?ref=ticketmaster,2026-08-10T10:21:16
1ANZkGNGkdvusZc,The Weeknd: After Hours Til Dawn Tour,Hip-Hop/Rap,Trap,London,KovZ9177ML0,Wembley Stadium,51.557807,-0.279581,K8vZ9172Ln7,The Weeknd,2026-08-14,,,,https://www.ticketmaster.co.uk/the-weeknd-after-hours-til-dawn-london-14-08-2026/event/23006323C137102D,2026-08-10T10:21:16
G5vHZbyk00NJR,Soultasia,Rock,Pop,Reading,KovZ917A2yf,Prospect Park Reading,51.450383,-1.006807,K8vZ917G7L0,The Real Thing,2026-08-14,,,,https://www.ticketmaster.co.uk/soultasia-reading-14-08-2026/event/1F006391A49239AF,2026-08-10T10:21:16
G5vHZbz2trFRI,Hollywood Vampires,Rock,Pop,Cardiff,KovZ9177Gu0,Cardiff Castle,51.481668,-3.182167,K8vZ917fhkV,Hollywood Vampires,2026-08-14,,,,https://www.ticketmaster.co.uk/hollywood-vampires-cardiff-14-08-2026/event/1F006383E9788BE8,2026-08-10T10:21:16
LvZ18QKnNzQfZhZZyv9z9,Symphonic Ibiza,Dance/Electronic,Dance Pop,Milton Keynes,KovZ9177B2f,Campbell Park,52.04989633,-0.73667786,K8vZ917bRz0,Symphonic Ibiza,2026-08-14,,,,https://www.universe.com/events/symphonic-ibiza-tickets-1C87MX?ref=ticketmaster,2026-08-10T10:21:16
G5vHZ_dpnt3xV,Hollywood Vampires - Official Ticket and Hotel Bundls,Rock,Pop,Cardiff,KovZ9177Gu0,Cardiff Castle,51.481668,-3.182167,K8vZ917fhkV,Hollywood Vampires,2026-08-14,,,,https://app.bundl.travel/event/1768566949789x984389619579879400?utm_source=ticketmaster&utm_medium=affiliate&utm_campaign=hollywoodvampires&utm_content=cardiffc,2026-08-10T10:21:16
1AgZkuNGkdPR1Ym,Holly Johnson,Rock,Pop,Scarborough,KovZ9177Ez0,Scarborough Open Air Theatre,54.293195,-0.412086,K8vZ9173-87,Holly Johnson,2026-08-14,,,,https://www.ticketmaster.co.uk/holly-johnson-scarborough-14-08-2026/event/35006363E5BCAC2E,2026-08-10T10:21:16
