venue_id,genre,acts,venue_name,city,latitude,longitude,fetched_at
KovZpZAnJv7A,Rock,12,Edinburgh Corn Exchange,Edinburgh,55.926128,-3.24748,2026-08-06T17:36:43
KovZpZAna1kA,Rock,1,Electrowerkz,London,51.532232,-0.105091,2026-08-06T17:36:43
KovZpZAna6AA,Rock,1,St George's Bristol,Bristol,51.453833,-2.603219,2026-08-06T17:36:43
KovZpZAna6eA,Rock,1,Corn Exchange Kings Lynn,Kings Lynn,52.75663,0.393592,2026-08-06T17:36:43
KovZpZAnaA1A,Dance/Electronic,5,NX,Newcastle Upon Tyne,54.971939,-1.6308,2026-08-06T17:36:43
KovZpZAnaA1A,Pop,1,NX,Newcastle Upon Tyne,54.971939,-1.6308,2026-08-06T17:36:43
KovZpZAnaA1A,R&B,1,NX,Newcastle Upon Tyne,54.971939,-1.6308,2026-08-06T17:36:43
KovZpZAnaA1A,Reggae,1,NX,Newcastle Upon Tyne,54.971939,-1.6308,2026-08-06T17:36:43
KovZpZAnaA1A,Rock,8,NX,Newcastle Upon Tyne,54.971939,-1.6308,2026-08-06T17:36:43
KovZpZAnaAAA,Metal,1,University of Wolverhampton at The Wulfrun Hall,Wolverhampton,52.586653,-2.130802,2026-08-06T17:36:43
KovZpZAnaAAA,Rock,4,University of Wolverhampton at The Wulfrun Hall,Wolverhampton,52.586653,-2.130802,2026-08-06T17:36:43
KovZpZAnaEkA,Dance/Electronic,1,Haydock Park Racecourse,Newton-Le-Willows,53.480911,-2.627185,2026-08-06T17:36:43
KovZpZAnaIFA,Metal,1,"The Nick Rayns LCR, UEA",Norwich,52.62238,1.241377,2026-08-06T17:36:43
KovZpZAnaIFA,Rock,5,"The Nick Rayns LCR, UEA",Norwich,52.62238,1.241377,2026-08-06T17:36:43
KovZpZAnaIJA,Classical,1,Plymouth Arena,Plymouth,50.368073,-4.149219,2026-08-06T17:36:43
KovZpZAnaIJA,R&B,1,Plymouth Arena,Plymouth,50.368073,-4.149219,2026-08-06T17:36:43
KovZpZAnaIJA,Rock,10,Plymouth Arena,Plymouth,50.368073,-4.149219,2026-08-06T17:36:43
KovZpZAnaJaA,Alternative,4,Jazz Cafe,London,51.53859,-0.143343,2026-08-06T17:36:43
KovZpZAnaJaA,Blues,2,Jazz Cafe,London,51.53859,-0.143343,2026-08-06T17:36:43
KovZpZAnaJaA,Dance/Electronic,13,Jazz Cafe,London,51.53859,-0.143343,2026-08-06T17:36:43
KovZpZAnaJaA,Folk,2,Jazz Cafe,London,51.53859,-0.143343,2026-08-06T17:36:43
KovZpZAnaJaA,Hip-Hop/Rap,4,Jazz Cafe,London,51.53859,-0.143343,2026-08-06T17:36:43
KovZpZAnaJaA,Jazz,27,Jazz Cafe,London,51.53859,-0.143343,2026-08-06T17:36:43
KovZpZAnaJaA,Latin,1,Jazz Cafe,London,51.53859,-0.143343,2026-08-06T17:36:43
KovZpZAnaJaA,New Age,1,Jazz Cafe,London,51.53859,-0.143343,2026-08-06T17:36:43
KovZpZAnaJaA,Pop,4,Jazz Cafe,London,51.53859,-0.143343,2026-08-06T17:36:43
KovZpZAnaJaA,R&B,15,Jazz Cafe,London,51.53859,-0.143343,2026-08-06T17:36:43
KovZpZAnaJaA,Reggae,7,Jazz Cafe,London,51.53859,-0.143343,2026-08-06T17:36:43
KovZpZAnaJaA,Rock,6,Jazz Cafe,London,51.53859,-0.143343,2026-08-06T17:36:43
KovZpZAnaJaA,World,18,Jazz Cafe,London,51.53859,-0.143343,2026-08-06T17:36:43
KovZpZAnad7A,Country,1,Manchester Academy 3,Manchester,53.464386,-2.232225,2026-08-06T17:36:43
KovZpZAnad7A,Metal,6,Manchester Academy 3,Manchester,53.464386,-2.232225,2026-08-06T17:36:43
KovZpZAnad7A,Pop,4,Manchester Academy 3,Manchester,53.464386,-2.232225,2026-08-06T17:36:43
KovZpZAnad7A,Rock,8,Manchester Academy 3,Manchester,53.464386,-2.232225,2026-08-06T17:36:43
KovZpZAnak7A,Country,2,O2 Academy Birmingham,Birmingham,52.473277,-1.900215,2026-08-06T17:36:43
KovZpZAnak7A,Dance/Electronic,1,O2 Academy Birmingham,Birmingham,52.473277,-1.900215,2026-08-06T17:36:43
KovZpZAnak7A,Hip-Hop/Rap,5,O2 Academy Birmingham,Birmingham,52.473277,-1.900215,2026-08-06T17:36:43
KovZpZAnak7A,Metal,5,O2 Academy Birmingham,Birmingham,52.473277,-1.900215,2026-08-06T17:36:43
KovZpZAnak7A,Pop,6,O2 Academy Birmingham,Birmingham,52.473277,-1.900215,2026-08-06T17:36:43
KovZpZAnak7A,R&B,1,O2 Academy Birmingham,Birmingham,52.473277,-1.900215,2026-08-06T17:36:43
KovZpZAnak7A,Reggae,2,O2 Academy Birmingham,Birmingham,52.473277,-1.900215,2026-08-06T17:36:43
KovZpZAnak7A,Rock,18,O2 Academy Birmingham,Birmingham,52.473277,-1.900215,2026-08-06T17:36:43
KovZpZAnakeA,Alternative,1,Fulford Arms,York,53.9472095,-1.0736536,2026-08-06T17:36:43
KovZpZAnakeA,Pop,1,Fulford Arms,York,53.9472095,-1.0736536,2026-08-06T17:36:43
KovZpZAnakeA,Rock,1,Fulford Arms,York,53.9472095,-1.0736536,2026-08-06T17:36:43
KovZpZAnalJA,Country,1,O2 Academy Bristol,Bristol,51.454142,-2.600849,2026-08-06T17:36:43
